Estado,ID_Expediente,Clasificacion_Norma,Fecha_Inicio,Caratula,Estado_Actual,Prioridad_Expediente,Riesgo_Financiero,Abogado_Asignado,Instancia_Actual,Audiencia_Prevista,Resultado_Final,Cantidad_de_Partes,Monto_Reclamado,Monto_Resuelto,Tipo_Demandante,Dias_en_Etapa,Juzgado,Caratula.1,Abogado_Contraparte,Tiene_Audiencia
APELADO,379922,Norma Laboral,2020-04-06 06:21:38,Expediente 15,TERMINADO,Media,Alto,Agostina,Segunda Instancia,2030-08-02 13:16:43,Conciliación,7,2092799.96,1844119.72,Persona Física,814,COMERCIAL 1,Caso relacionado 15,DR. URQUIZA,1
APELADO,800601,Norma Laboral,2012-07-07 20:55:58,Expediente 16,FERIA JUDICIAL,Baja,Alto,Mariana,Primera Instancia,2025-06-30 13:14:51,En Proceso,4,1890565.73,2840137.02,Organismo Público,767,LABORAL 5,Caso relacionado 16,DR. URQUIZA,1
APELADO,142229,Norma Comercial,2007-07-27 02:24:54,Expediente 17,EN TRÁMITE,Baja,Bajo,Belén,Primera Instancia,2029-09-12 07:14:30,Favorable,2,4380765.58,3934927.77,Organismo Público,634,COMERCIAL 1,Caso relacionado 17,DR. URQUIZA,1
EN TRÁMITE,186652,Norma Penal,2017-03-27 20:14:47,Expediente 18,EN TRÁMITE,Baja,Alto,Belén,Primera Instancia,2028-01-07 02:57:17,Favorable,2,4527442.01,205450.52,Empresa,1567,PAZ TERCERA,Caso relacionado 18,DESCONOCIDO,1
FERIA JUDICIAL,349474,Norma Laboral,2000-04-11 21:59:46,Expediente 19,EN TRÁMITE,Baja,Bajo,Laura,Primera Instancia,2025-01-28 02:52:16,En Proceso,3,2469855.29,391294.77,Organismo Público,1339,PAZ TERCERA,Caso relacionado 19,DRA. CINTIA FIAD,1
TERMINADO,803724,Norma Penal,2016-12-21 13:40:09,Expediente 20,EN TRÁMITE,Baja,Alto,Mariana,Primera Instancia,2025-02-21 04:34:48,Favorable,4,1657478.19,2883224.68,Organismo Público,991,LABORAL 5,Caso relacionado 20,DESCONOCIDO,1
FERIA JUDICIAL,360116,Norma Comercial,2016-02-07 04:45:55,Expediente 21,EN TRÁMITE,Alta,Moderado,Andres,Segunda Instancia,2026-06-11 16:56:40,En Proceso,2,542935.51,1130890.89,Empresa,1821,PAZ TERCERA,Caso relacionado 21,DR. PAREDES,1
TERMINADO,971310,Norma Penal,2018-06-04 13:43:10,Expediente 22,EN TRÁMITE,Baja,Bajo,Laura,Corte Suprema,2025-06-08 16:20:25,Desfavorable,3,4767480.37,741284.08,Empresa,618,PAZ TERCERA,Caso relacionado 22,DR. PAREDES,1
APELADO,943488,Norma Laboral,2019-07-06 17:18:59,Expediente 23,FERIA JUDICIAL,Baja,Bajo,Laura,Primera Instancia,2026-08-26 10:54:52,En Proceso,9,310532.46,162250.71,Empresa,1760,CIVIL 2,Caso relacionado 23,DESCONOCIDO,1
EN TRÁMITE,620985,Norma Penal,2004-02-20 04:20:25,Expediente 24,TERMINADO,Alta,Alto,Agostina,Primera Instancia,2029-10-15 14:41:50,Favorable,5,1495274.89,92277.61,Empresa,273,CIVIL 2,Caso relacionado 24,DR. PAREDES,1
FERIA JUDICIAL,119975,Norma Laboral,2018-07-15 07:53:59,Expediente 25,EN TRÁMITE,Alta,Bajo,Agostina,Segunda Instancia,2030-09-16 22:48:54,En Proceso,9,1497350.34,3099069.98,Persona Física,1934,COMERCIAL 1,Caso relacionado 25,DRA. CINTIA FIAD,1
EN TRÁMITE,257795,Norma Penal,2012-08-30 06:12:50,Expediente 26,APELADO,Alta,Bajo,Agostina,Segunda Instancia,2030-09-29 10:42:37,Conciliación,8,1608802.42,542061.54,Empresa,232,PAZ TERCERA,Caso relacionado 26,DRA. CINTIA FIAD,1
TERMINADO,516495,Norma Laboral,2018-10-04 05:07:37,Expediente 27,FERIA JUDICIAL,Alta,Moderado,Laura,Corte Suprema,2028-07-30 21:46:00,Desfavorable,3,829791.35,1873543.86,Empresa,1444,COMERCIAL 1,Caso relacionado 27,DRA. CINTIA FIAD,1
EN TRÁMITE,309373,Norma Laboral,2019-04-06 06:43:48,Expediente 28,FERIA JUDICIAL,Alta,Moderado,Andres,Segunda Instancia,2029-10-18 01:47:07,Desfavorable,3,3917975.54,2425557.78,Empresa,768,COMERCIAL 1,Caso relacionado 28,DR. PAREDES,1
EN TRÁMITE,297133,Norma Penal,2022-03-10 20:41:09,Expediente 29,EN TRÁMITE,Alta,Alto,Belén,Corte Suprema,2025-10-01 11:15:45,En Proceso,2,621264.33,1716265.44,Organismo Público,1466,PAZ TERCERA,Caso relacionado 29,DR. PAREDES,1
FERIA JUDICIAL,974829,Norma Comercial,2022-02-17 23:25:08,Expediente 30,FERIA JUDICIAL,Baja,Moderado,Agostina,Primera Instancia,2025-05-26 03:39:35,Favorable,6,3178184.23,113291.08,Empresa,496,LABORAL 5,Caso relacionado 30,DR. PAREDES,1
APELADO,804513,Norma Civil,2000-04-03 10:47:17,Expediente 31,EN TRÁMITE,Baja,Alto,Andres,Primera Instancia,2030-11-15 17:44:15,Conciliación,6,627991.67,3135088.5,Persona Física,1048,PAZ TERCERA,Caso relacionado 31,DR. URQUIZA,1
EN TRÁMITE,395286,Norma Comercial,2024-04-10 22:47:02,Expediente 32,TERMINADO,Media,Alto,Mariana,Corte Suprema,2025-08-25 05:41:02,Desfavorable,7,361972.83,47000.33,Persona Física,1133,CIVIL 2,Caso relacionado 32,DRA. CINTIA FIAD,1
APELADO,913348,Norma Penal,2000-06-08 23:32:36,Expediente 33,TERMINADO,Baja,Alto,Agostina,Segunda Instancia,2025-12-29 00:55:52,Desfavorable,6,4548053.22,3048750.13,Empresa,1727,PAZ TERCERA,Caso relacionado 33,DR. URQUIZA,1
TERMINADO,688612,Norma Comercial,2003-12-16 03:30:17,Expediente 34,FERIA JUDICIAL,Baja,Bajo,Belén,Corte Suprema,2028-02-16 13:53:17,Favorable,3,958742.54,3573751.45,Persona Física,502,LABORAL 5,Caso relacionado 34,DRA. CINTIA FIAD,1
EN TRÁMITE,276037,Norma Laboral,2016-04-10 19:38:13,Expediente 35,FERIA JUDICIAL,Alta,Moderado,Mariana,Segunda Instancia,2029-12-31 23:38:17,Favorable,7,4108038.27,1734195.48,Organismo Público,1883,COMERCIAL 1,Caso relacionado 35,DR. PAREDES,1
FERIA JUDICIAL,488076,Norma Civil,2022-09-17 21:42:05,Expediente 36,APELADO,Alta,Alto,Mariana,Primera Instancia,2027-12-12 02:48:24,Conciliación,9,2727708.05,2144492.18,Empresa,25,COMERCIAL 1,Caso relacionado 36,DRA. CINTIA FIAD,1
TERMINADO,760008,Norma Penal,2014-05-11 02:03:47,Expediente 37,FERIA JUDICIAL,Baja,Moderado,Belén,Segunda Instancia,2025-05-25 10:39:41,En Proceso,2,398504.03,1910548.65,Persona Física,1211,CIVIL 2,Caso relacionado 37,DRA. CINTIA FIAD,1
TERMINADO,790493,Norma Penal,2024-09-04 10:19:39,Expediente 38,APELADO,Media,Alto,Agostina,Corte Suprema,2027-06-19 22:48:25,Favorable,9,4777686.48,1559888.43,Persona Física,288,CIVIL 2,Caso relacionado 38,DR. URQUIZA,1
FERIA JUDICIAL,720347,Norma Penal,2006-01-06 01:28:24,Expediente 39,TERMINADO,Alta,Moderado,Laura,Corte Suprema,2028-10-26 02:47:57,En Proceso,4,1242336.22,3550261.02,Empresa,1652,CIVIL 2,Caso relacionado 39,DRA. CINTIA FIAD,1
EN TRÁMITE,722605,Norma Civil,2018-09-26 18:59:56,Expediente 40,TERMINADO,Baja,Moderado,Belén,Primera Instancia,2030-02-20 08:12:38,Conciliación,8,4299630.27,3576264.38,Persona Física,338,COMERCIAL 1,Caso relacionado 40,DR. PAREDES,1
EN TRÁMITE,825495,Norma Laboral,2012-08-27 14:09:23,Expediente 41,EN TRÁMITE,Baja,Alto,Belén,Segunda Instancia,2027-04-05 19:36:08,En Proceso,8,852361.93,1346586.38,Empresa,1902,CIVIL 2,Caso relacionado 41,DRA. CINTIA FIAD,1
TERMINADO,397190,Norma Penal,2020-09-24 05:20:16,Expediente 42,TERMINADO,Media,Bajo,Belén,Segunda Instancia,2029-12-31 07:05:49,Desfavorable,3,4271174.98,2462203.67,Persona Física,1938,PAZ TERCERA,Caso relacionado 42,DRA. CINTIA FIAD,1
EN TRÁMITE,540280,Norma Comercial,2012-01-02 13:24:06,Expediente 43,APELADO,Media,Moderado,Mariana,Segunda Instancia,2029-09-18 05:06:42,En Proceso,3,76011.78,3707995.71,Organismo Público,1061,COMERCIAL 1,Caso relacionado 43,DRA. CINTIA FIAD,1
APELADO,201459,Norma Penal,2016-11-29 02:53:58,Expediente 44,FERIA JUDICIAL,Alta,Bajo,Andres,Primera Instancia,2030-06-09 21:32:35,Conciliación,7,2563784.48,3848423.7,Persona Física,1818,LABORAL 5,Caso relacionado 44,DR. URQUIZA,1
FERIA JUDICIAL,861985,Norma Penal,2001-05-17 13:21:32,Expediente 45,EN TRÁMITE,Media,Bajo,Laura,Segunda Instancia,2028-02-24 11:08:31,Conciliación,2,3849518.47,1888468.992082754,Persona Física,137,COMERCIAL 1,Caso relacionado 45,DRA. CINTIA FIAD,1
APELADO,300422,Norma Penal,2019-05-16 00:57:49,Expediente 46,APELADO,Baja,Alto,Agostina,Corte Suprema,2030-03-05 22:34:09,Conciliación,5,4674629.63,1814035.1,Empresa,508,PAZ TERCERA,Caso relacionado 46,DRA. CINTIA FIAD,1
EN TRÁMITE,932325,Norma Penal,2008-10-28 21:21:27,Expediente 47,FERIA JUDICIAL,Baja,Alto,Agostina,Segunda Instancia,2026-12-13 05:26:33,En Proceso,3,4546918.66,1118383.79,Persona Física,227,PAZ TERCERA,Caso relacionado 47,DR. URQUIZA,1
TERMINADO,201520,Norma Laboral,2014-03-04 16:42:12,Expediente 48,EN TRÁMITE,Media,Alto,Andres,Primera Instancia,2028-03-24 12:26:50,Desfavorable,5,4099928.1,3835693.13,Empresa,320,CIVIL 2,Caso relacionado 48,DR. URQUIZA,1
FERIA JUDICIAL,685560,Norma Comercial,2010-11-20 00:22:39,Expediente 49,TERMINADO,Media,Moderado,Belén,Segunda Instancia,2027-05-28 10:26:28,Favorable,9,4442074.83,575543.15,Organismo Público,1864,COMERCIAL 1,Caso relacionado 49,DR. URQUIZA,1
EN TRÁMITE,847512,Norma Laboral,2008-05-14 09:58:14,Expediente 50,APELADO,Media,Alto,Laura,Segunda Instancia,2028-01-21 20:33:24,Desfavorable,5,1004106.23,2321419.16,Empresa,916,COMERCIAL 1,Caso relacionado 50,DR. URQUIZA,1
EN TRÁMITE,616123,Norma Comercial,2008-04-03 10:18:43,Expediente 51,FERIA JUDICIAL,Media,Alto,Agostina,Corte Suprema,2026-06-19 11:04:53,En Proceso,6,1428079.64,1133788.32,Empresa,1206,COMERCIAL 1,Caso relacionado 51,DR. PAREDES,1
TERMINADO,429793,Norma Penal,2007-03-09 21:34:47,Expediente 52,EN TRÁMITE,Alta,Moderado,Agostina,Segunda Instancia,2030-01-23 18:06:36,En Proceso,2,1451952.94,1119638.12,Persona Física,1898,LABORAL 5,Caso relacionado 52,DR. PAREDES,1
TERMINADO,426818,Norma Civil,2014-01-31 09:35:57,Expediente 53,EN TRÁMITE,Media,Moderado,Belén,Corte Suprema,2026-06-04 22:43:02,Favorable,8,1891499.12,1622849.51,Organismo Público,86,CIVIL 2,Caso relacionado 53,DRA. CINTIA FIAD,1
APELADO,244832,Norma Laboral,2024-01-07 06:26:41,Expediente 54,TERMINADO,Alta,Alto,Andres,Corte Suprema,2026-12-23 14:01:52,En Proceso,8,1972670.15,3995177.78,Empresa,1491,PAZ TERCERA,Caso relacionado 54,DR. PAREDES,1
FERIA JUDICIAL,252999,Norma Civil,2013-07-10 15:47:41,Expediente 55,FERIA JUDICIAL,Baja,Alto,Laura,Primera Instancia,2030-12-27 00:28:47,Conciliación,5,2727331.07,224590.4,Persona Física,926,PAZ TERCERA,Caso relacionado 55,DRA. CINTIA FIAD,1
FERIA JUDICIAL,448619,Norma Laboral,2007-06-26 12:25:53,Expediente 56,TERMINADO,Media,Alto,Andres,Corte Suprema,2029-01-25 23:19:25,Conciliación,8,807800.02,2316274.56,Persona Física,53,CIVIL 2,Caso relacionado 56,DR. PAREDES,1
TERMINADO,161367,Norma Penal,2013-11-25 16:30:10,Expediente 57,TERMINADO,Alta,Alto,Andres,Corte Suprema,2028-10-09 22:09:05,Conciliación,9,3459320.85,334875.77,Empresa,860,PAZ TERCERA,Caso relacionado 57,DR. URQUIZA,1
APELADO,853315,Norma Laboral,2002-09-12 07:02:54,Expediente 58,FERIA JUDICIAL,Media,Bajo,Laura,Primera Instancia,2029-11-22 02:22:48,Conciliación,2,846157.03,622310.72,Persona Física,867,PAZ TERCERA,Caso relacionado 58,DR. URQUIZA,1
FERIA JUDICIAL,505804,Norma Penal,2003-02-13 23:54:35,Expediente 59,FERIA JUDICIAL,Baja,Bajo,Laura,Corte Suprema,2028-07-26 07:36:26,Conciliación,6,1558439.33,1761053.95,Empresa,1259,CIVIL 2,Caso relacionado 59,DR. PAREDES,1
TERMINADO,857038,Norma Laboral,2010-03-19 17:26:19,Expediente 60,FERIA JUDICIAL,Baja,Alto,Agostina,Primera Instancia,2030-05-13 04:17:14,En Proceso,2,2521692.2,2044288.22,Empresa,1983,PAZ TERCERA,Caso relacionado 60,DR. PAREDES,1
EN TRÁMITE,335806,Norma Penal,2009-10-24 12:12:02,Expediente 61,APELADO,Baja,Bajo,Agostina,Segunda Instancia,2026-07-24 04:13:36,Favorable,3,3984238.4,1038875.67,Empresa,1803,COMERCIAL 1,Caso relacionado 61,DRA. CINTIA FIAD,1
FERIA JUDICIAL,807593,Norma Penal,2018-07-29 23:41:50,Expediente 62,FERIA JUDICIAL,Media,Moderado,Laura,Primera Instancia,2026-04-27 12:54:10,Favorable,5,3699951.47,1269246.24,Organismo Público,1823,LABORAL 5,Caso relacionado 62,DRA. CINTIA FIAD,1
APELADO,144738,Norma Comercial,2010-06-27 14:06:37,Expediente 63,EN TRÁMITE,Media,Bajo,Mariana,Corte Suprema,2027-06-09 13:41:37,Conciliación,2,3231216.44,352433.25,Empresa,433,CIVIL 2,Caso relacionado 63,DRA. CINTIA FIAD,1
APELADO,657685,Norma Penal,2020-04-11 19:36:50,Expediente 64,TERMINADO,Alta,Bajo,Agostina,Primera Instancia,2028-11-25 07:40:36,En Proceso,9,787308.57,1216363.04,Persona Física,1520,LABORAL 5,Caso relacionado 64,DR. URQUIZA,1
APELADO,444333,Norma Comercial,2007-12-20 13:58:45,Expediente 65,APELADO,Baja,Alto,Mariana,Corte Suprema,2030-12-11 05:14:34,Desfavorable,8,2739756.27,3866400.97,Organismo Público,999,PAZ TERCERA,Caso relacionado 65,DR. URQUIZA,1
EN TRÁMITE,438511,Norma Penal,2011-06-19 12:13:32,Expediente 66,FERIA JUDICIAL,Media,Bajo,Laura,Segunda Instancia,2027-10-29 14:34:01,Desfavorable,4,446358.04,3779105.99,Persona Física,100,PAZ TERCERA,Caso relacionado 66,DR. URQUIZA,1
FERIA JUDICIAL,302332,Norma Civil,2004-09-30 17:42:53,Expediente 67,APELADO,Baja,Bajo,Agostina,Primera Instancia,2026-04-06 02:53:03,En Proceso,2,1893042.25,1342838.77,Organismo Público,990,COMERCIAL 1,Caso relacionado 67,DR. URQUIZA,1
FERIA JUDICIAL,482729,Norma Penal,2005-04-03 13:26:54,Expediente 68,FERIA JUDICIAL,Baja,Bajo,Andres,Segunda Instancia,2026-07-16 20:26:45,Conciliación,5,2073447.49,2285561.48,Organismo Público,599,CIVIL 2,Caso relacionado 68,DRA. CINTIA FIAD,1
EN TRÁMITE,963051,Norma Civil,2010-03-23 18:22:27,Expediente 69,APELADO,Alta,Bajo,Laura,Corte Suprema,2029-04-21 14:44:08,Favorable,6,208659.08,3638833.59,Organismo Público,403,PAZ TERCERA,Caso relacionado 69,DR. URQUIZA,1
FERIA JUDICIAL,211453,Norma Civil,2002-05-08 10:47:27,Expediente 70,TERMINADO,Alta,Moderado,Belén,Corte Suprema,2030-02-01 18:28:59,En Proceso,8,1377200.62,29704.37,Organismo Público,396,CIVIL 2,Caso relacionado 70,DR. URQUIZA,1
EN TRÁMITE,119816,Norma Penal,2002-10-05 22:45:38,Expediente 71,TERMINADO,Alta,Alto,Mariana,Segunda Instancia,2025-03-01 23:25:30,Desfavorable,6,4778690.84,3243680.86,Persona Física,1551,CIVIL 2,Caso relacionado 71,DR. URQUIZA,1
EN TRÁMITE,869299,Norma Civil,2016-10-20 08:37:00,Expediente 72,EN TRÁMITE,Alta,Alto,Laura,Primera Instancia,2030-06-25 05:39:59,Desfavorable,5,4768626.71,3793736.36,Empresa,415,CIVIL 2,Caso relacionado 72,DESCONOCIDO,1
EN TRÁMITE,965962,Norma Comercial,2020-01-25 21:42:59,Expediente 73,EN TRÁMITE,Baja,Moderado,Laura,Primera Instancia,2026-05-23 20:31:37,Desfavorable,8,1768112.0,369846.31,Persona Física,939,CIVIL 2,Caso relacionado 73,DR. PAREDES,1
APELADO,516715,Norma Laboral,2016-08-27 09:09:49,Expediente 74,FERIA JUDICIAL,Alta,Bajo,Agostina,Corte Suprema,2028-07-09 02:54:03,Conciliación,3,225069.54,649983.51,Empresa,1637,CIVIL 2,Caso relacionado 74,DRA. CINTIA FIAD,1
FERIA JUDICIAL,471000,Norma Penal,2010-08-22 23:35:18,Expediente 75,TERMINADO,Alta,Moderado,Agostina,Segunda Instancia,2028-02-02 15:33:32,Desfavorable,8,903683.75,3843181.48,Persona Física,677,LABORAL 5,Caso relacionado 75,DRA. CINTIA FIAD,1
EN TRÁMITE,313567,Norma Civil,2012-01-22 08:25:53,Expediente 76,APELADO,Alta,Bajo,Agostina,Segunda Instancia,2025-07-04 16:10:43,En Proceso,3,1967166.79,2152472.87,Organismo Público,463,COMERCIAL 1,Caso relacionado 76,DR. URQUIZA,1
FERIA JUDICIAL,614933,Norma Penal,2016-07-10 22:05:50,Expediente 77,APELADO,Alta,Moderado,Belén,Primera Instancia,2029-12-10 12:04:54,En Proceso,6,4739420.69,61715.55,Organismo Público,541,CIVIL 2,Caso relacionado 77,DR. PAREDES,1
APELADO,695923,Norma Comercial,2008-07-05 23:46:56,Expediente 78,APELADO,Baja,Alto,Agostina,Primera Instancia,2025-11-08 01:27:17,Desfavorable,6,714583.33,1034239.84,Empresa,1650,LABORAL 5,Caso relacionado 78,DRA. CINTIA FIAD,1
EN TRÁMITE,994235,Norma Penal,2013-05-14 19:20:26,Expediente 79,EN TRÁMITE,Alta,Alto,Laura,Primera Instancia,2028-06-08 15:31:06,En Proceso,5,3819944.06,1802524.98,Empresa,1643,PAZ TERCERA,Caso relacionado 79,DRA. CINTIA FIAD,1
TERMINADO,316184,Norma Penal,2006-12-28 11:07:07,Expediente 80,APELADO,Baja,Alto,Agostina,Segunda Instancia,2029-10-25 03:35:54,Desfavorable,3,552325.87,2773171.1,Persona Física,1946,CIVIL 2,Caso relacionado 80,DR. URQUIZA,1
APELADO,398090,Norma Civil,2002-04-04 14:52:30,Expediente 81,EN TRÁMITE,Media,Bajo,Andres,Primera Instancia,2027-12-27 14:05:14,Desfavorable,6,4906475.31,2933975.71,Empresa,1388,PAZ TERCERA,Caso relacionado 81,DR. URQUIZA,1
TERMINADO,417348,Norma Comercial,2024-12-02 14:43:07,Expediente 82,EN TRÁMITE,Baja,Bajo,Agostina,Primera Instancia,2025-06-27 13:08:30,Favorable,3,1914266.33,3981708.94,Persona Física,1154,CIVIL 2,Caso relacionado 82,DRA. CINTIA FIAD,1
FERIA JUDICIAL,282958,Norma Laboral,2006-09-23 20:24:21,Expediente 83,FERIA JUDICIAL,Baja,Moderado,Belén,Corte Suprema,2027-12-05 08:57:34,Conciliación,6,3878420.35,1153607.24,Empresa,84,LABORAL 5,Caso relacionado 83,DRA. CINTIA FIAD,1
FERIA JUDICIAL,377707,Norma Laboral,2019-05-27 22:54:36,Expediente 84,APELADO,Alta,Moderado,Andres,Primera Instancia,2025-03-14 05:25:27,Conciliación,8,1719529.5,2155189.31,Empresa,271,LABORAL 5,Caso relacionado 84,DR. PAREDES,1
APELADO,192324,Norma Civil,2023-08-11 17:47:12,Expediente 85,APELADO,Media,Alto,Laura,Primera Instancia,2028-12-24 16:36:22,Favorable,2,3142067.7,2135627.57,Empresa,244,LABORAL 5,Caso relacionado 85,DRA. CINTIA FIAD,1
FERIA JUDICIAL,323536,Norma Penal,2023-04-22 18:53:04,Expediente 86,TERMINADO,Media,Bajo,Laura,Segunda Instancia,2025-12-13 05:57:18,Favorable,9,968160.26,1625552.81,Organismo Público,388,COMERCIAL 1,Caso relacionado 86,DRA. CINTIA FIAD,1
TERMINADO,857232,Norma Civil,2018-09-20 19:25:57,Expediente 87,FERIA JUDICIAL,Media,Moderado,Mariana,Segunda Instancia,2026-10-18 08:01:58,Conciliación,4,738644.89,680801.77,Organismo Público,214,PAZ TERCERA,Caso relacionado 87,DR. URQUIZA,1
EN TRÁMITE,371991,Norma Civil,2018-07-14 09:55:15,Expediente 88,TERMINADO,Media,Bajo,Andres,Corte Suprema,2025-12-12 08:52:14,Desfavorable,9,4690940.06,3909938.97,Persona Física,818,COMERCIAL 1,Caso relacionado 88,DRA. CINTIA FIAD,1
EN TRÁMITE,126155,Norma Civil,2004-11-07 06:02:23,Expediente 89,FERIA JUDICIAL,Baja,Bajo,Mariana,Primera Instancia,2029-03-06 21:54:03,Desfavorable,8,4589059.92,3414002.16,Empresa,1190,CIVIL 2,Caso relacionado 89,DR. URQUIZA,1
EN TRÁMITE,441815,Norma Penal,2024-04-04 23:28:46,Expediente 90,APELADO,Media,Alto,Andres,Corte Suprema,2029-10-31 12:07:40,Conciliación,7,4438470.01,1995840.45,Persona Física,1815,PAZ TERCERA,Caso relacionado 90,DRA. CINTIA FIAD,1
APELADO,741179,Norma Comercial,2016-02-08 12:34:34,Expediente 91,EN TRÁMITE,Baja,Alto,Andres,Segunda Instancia,2027-09-15 10:07:57,Desfavorable,9,3130912.92,2414965.46,Empresa,59,LABORAL 5,Caso relacionado 91,DRA. CINTIA FIAD,1
FERIA JUDICIAL,969742,Norma Civil,2021-10-05 21:57:25,Expediente 92,EN TRÁMITE,Baja,Bajo,Belén,Corte Suprema,2030-03-21 17:23:54,Favorable,2,4043258.37,912907.91,Organismo Público,1626,PAZ TERCERA,Caso relacionado 92,DRA. CINTIA FIAD,1
TERMINADO,560494,Norma Penal,2012-03-22 02:17:49,Expediente 93,EN TRÁMITE,Baja,Bajo,Mariana,Segunda Instancia,2029-09-01 03:59:58,Desfavorable,7,354494.32,2177429.35,Organismo Público,883,LABORAL 5,Caso relacionado 93,DR. PAREDES,1
FERIA JUDICIAL,249381,Norma Comercial,2018-03-19 20:55:38,Expediente 94,EN TRÁMITE,Media,Bajo,Belén,Corte Suprema,2030-01-05 06:15:24,Desfavorable,6,1680597.32,2781405.68,Empresa,843,COMERCIAL 1,Caso relacionado 94,DR. URQUIZA,1
